club_id,club_code,name,domestic_competition_id,total_market_value,squad_size,average_age,foreigners_number,foreigners_percentage,national_team_players,stadium_name,stadium_seats,net_transfer_record,coach_name,url
3840,adana-demirspor,Adana Demirspor,TR1,,30,27.5,16,53.3,4,Yeni Adana Stadyumu,33000,+€6.12m,,https://www.transfermarkt.co.uk/adana-demirspor/startseite/verein/3840
11282,alanyaspor,Alanyaspor,TR1,,30,25.7,14,46.7,5,Kırbıyık Holding Stadyumu,10128,+-0,,https://www.transfermarkt.co.uk/alanyaspor/startseite/verein/11282
2832,gaziantep-fk,Gaziantep Fk,TR1,,12,25.3,8,66.7,0,Kalyon Stadyumu,33502,+€192k,,https://www.transfermarkt.co.uk/gaziantep-fk/startseite/verein/2832
114,besiktas-istanbul,Besiktas Istanbul,TR1,,28,27.8,15,53.6,13,Vodafone Park,42590,€-15.55m,,https://www.transfermarkt.co.uk/besiktas-istanbul/startseite/verein/114
449,trabzonspor,Trabzonspor,TR1,,31,26.0,16,51.6,13,Şenol Güneş Spor Kompleksi,40782,+€13k,,https://www.transfermarkt.co.uk/trabzonspor/startseite/verein/449
141,galatasaray-istanbul,Galatasaray Istanbul,TR1,,29,25.8,16,55.2,11,Ali Sami Yen Spor Kompleksi NEF Stadyumu,52223,€-33.94m,,https://www.transfermarkt.co.uk/galatasaray-istanbul/startseite/verein/141
36,fenerbahce-istanbul,Fenerbahce Istanbul,TR1,,28,26.6,15,53.6,17,Ülker Stadyumu FB Şükrü Saraçoğlu Spor Kompleksi,47834,€-13.71m,,https://www.transfermarkt.co.uk/fenerbahce-istanbul/startseite/verein/36
11688,giresunspor,Giresunspor,TR1,,25,25.3,10,40.0,4,Çotanak Spor Kompleksi,21500,+€284k,,https://www.transfermarkt.co.uk/giresunspor/startseite/verein/11688
385,fortuna-sittard,Fortuna Sittard,NL1,,26,25.3,18,69.2,2,Fortuna Sittard Stadion,12500,+€400k,,https://www.transfermarkt.co.uk/fortuna-sittard/startseite/verein/385
1435,go-ahead-eagles-deventer,Go Ahead Eagles Deventer,NL1,,28,23.5,12,42.9,1,De Adelaarshorst,9909,+€750k,,https://www.transfermarkt.co.uk/go-ahead-eagles-deventer/startseite/verein/1435
3999,pas-lamia-1964,Pas Lamia 1964,GR1,,33,28.4,16,48.5,2,"Stadio Lamia ""Athanasios Diakos""",5500,+-0,,https://www.transfermarkt.co.uk/pas-lamia-1964/startseite/verein/3999
589,antalyaspor,Antalyaspor,TR1,,33,26.6,19,57.6,4,Corendon Airlines Park Antalya Stadı,32537,+€2.12m,,https://www.transfermarkt.co.uk/antalyaspor/startseite/verein/589
2672,apo-levadiakos,Apo Levadiakos,GR1,,31,27.5,19,61.3,1,Stadio Livadias,5915,+-0,,https://www.transfermarkt.co.uk/apo-levadiakos/startseite/verein/2672
653,ofi-kreta,Ofi Kreta,GR1,,31,26.4,16,51.6,1,Gipedo Theodoros Vardinogiannis,9088,+€700k,,https://www.transfermarkt.co.uk/ofi-kreta/startseite/verein/653
